ID,group,Bin,AvgGrayValue,factorBin,Treatment
1690,control,1,34.5977,1,clinostat
1690,control,2,75.96552,2,clinostat
1690,control,3,74.00766,3,clinostat
1690,control,4,32.03321,4,clinostat
1691,control,1,48.7532,1,clinostat
1691,control,2,89.50198,2,clinostat
1691,control,3,87.05402,3,clinostat
1691,control,4,48.34399,4,clinostat
1692,control,1,34.72142,1,clinostat
1692,control,2,56.86071,2,clinostat
1692,control,3,60.51072,3,clinostat
1692,control,4,34.78572,4,clinostat
1693,control,1,42.66218,1,clinostat
1693,control,2,67.73612,2,clinostat
1693,control,3,71.14121,3,clinostat
1693,control,4,43.29966,4,clinostat
1694,control,1,34.31667,1,clinostat
1694,control,2,71.68354,2,clinostat
1694,control,3,71.10915,3,clinostat
1694,control,4,34.91845,4,clinostat
1695,control,1,40.14979,1,clinostat
1695,control,2,67.44657,2,clinostat
1695,control,3,65.56409,3,clinostat
1695,control,4,43.75708,4,clinostat
1696,control,1,48.97767,1,clinostat
1696,control,2,90.84561,2,clinostat
1696,control,3,91,3,clinostat
1696,control,4,47.09039,4,clinostat
1698,bacteria,1,42.04381,1,clinostat
1698,bacteria,2,85.92521,2,clinostat
1698,bacteria,3,78.95834,3,clinostat
1698,bacteria,4,40.54808,4,clinostat
1699,bacteria,1,36.08229,1,clinostat
1699,bacteria,2,64.89176,2,clinostat
1699,bacteria,3,71.10118,3,clinostat
1699,bacteria,4,37.176,4,clinostat
1700,bacteria,1,36.80001,1,clinostat
1700,bacteria,2,67.99493,2,clinostat
1700,bacteria,3,65.68052,3,clinostat
1700,bacteria,4,36.26799,4,clinostat
1703,bacteria,1,38.17128,1,clinostat
1703,bacteria,2,57.23875,2,clinostat
1703,bacteria,3,63.67473,3,clinostat
1703,bacteria,4,36.92215,4,clinostat
1704,bacteria,1,27.85699,1,clinostat
1704,bacteria,2,48.58436,2,clinostat
1704,bacteria,3,57.15844,3,clinostat
1704,bacteria,4,32.5823,4,clinostat
1705,bacteria,1,21.71349,1,clinostat
1705,bacteria,2,53.66825,2,clinostat
1705,bacteria,3,51.25715,3,clinostat
1705,bacteria,4,23.7873,4,clinostat
1706,bacteria,1,38.91312,1,clinostat
1706,bacteria,2,64.98333,2,clinostat
1706,bacteria,3,70.17084,3,clinostat
1706,bacteria,4,38.54849,4,clinostat
1707,bacteria,1,43.88096,1,clinostat
1707,bacteria,2,87.27241,2,clinostat
1707,bacteria,3,90.92087,3,clinostat
1707,bacteria,4,41.79483,4,clinostat
1709,bacteria,1,43.72543,1,clinostat
1709,bacteria,2,62.09099,2,clinostat
1709,bacteria,3,58.81351,3,clinostat
1709,bacteria,4,38.95351,4,clinostat
1710,bacteria,1,37.35588,1,clinostat
1710,bacteria,2,70.72843,2,clinostat
1710,bacteria,3,81.1402,3,clinostat
1710,bacteria,4,43.19314,4,clinostat
1711,bacteria,1,28.88829,1,clinostat
1711,bacteria,2,63.38469,2,clinostat
1711,bacteria,3,70.9072,3,clinostat
1711,bacteria,4,26.45585,4,clinostat
1712,bacteria,1,39.95483,1,clinostat
1712,bacteria,2,80.98157,2,clinostat
1712,bacteria,3,85.56867,3,clinostat
1712,bacteria,4,45.14931,4,clinostat
1713,bacteria,1,46.18437,1,clinostat
1713,bacteria,2,90.40625,2,clinostat
1713,bacteria,3,78.46564,3,clinostat
1713,bacteria,4,42.54687,4,clinostat
1714,bacteria,1,33.37361,1,clinostat
1714,bacteria,2,75.48203,2,clinostat
1714,bacteria,3,86.68546,3,clinostat
1714,bacteria,4,41.63435,4,clinostat
1715,bacteria,1,31.7458,1,clinostat
1715,bacteria,2,61.67962,2,clinostat
