ID,Group,Distance,Intensity,Treatment
2191,control,89,45.3333,clinostat
2191,control,90,43.7778,clinostat
2191,control,91,42.1667,clinostat
2191,control,92,40.5556,clinostat
2191,control,93,37.7778,clinostat
2191,control,94,35.2222,clinostat
2191,control,95,33.8333,clinostat
2191,control,96,32.3889,clinostat
2191,control,97,30.6111,clinostat
2191,control,98,28.8889,clinostat
2191,control,99,27.9444,clinostat
2192,control,0,35.9167,clinostat
2192,control,1,36.7083,clinostat
2192,control,2,37.7917,clinostat
2192,control,3,38.8333,clinostat
2192,control,4,39.75,clinostat
2192,control,5,41.2917,clinostat
2192,control,6,42.875,clinostat
2192,control,7,44.9167,clinostat
2192,control,8,47.5417,clinostat
2192,control,9,50.625,clinostat
2192,control,10,53.9167,clinostat
2192,control,11,56.9583,clinostat
2192,control,12,59.3333,clinostat
2192,control,13,61.7083,clinostat
2192,control,14,64.2917,clinostat
2192,control,15,66.5,clinostat
2192,control,16,67.375,clinostat
2192,control,17,67.5417,clinostat
2192,control,18,67.2917,clinostat
2192,control,19,67.2083,clinostat
2192,control,20,67.625,clinostat
2192,control,21,68.2917,clinostat
2192,control,22,69.25,clinostat
2192,control,23,70.375,clinostat
2192,control,24,70.9583,clinostat
2192,control,25,70.6667,clinostat
2192,control,26,70.5,clinostat
2192,control,27,70.125,clinostat
2192,control,28,69.75,clinostat
2192,control,29,69.1667,clinostat
2192,control,30,68.3333,clinostat
2192,control,31,68,clinostat
2192,control,32,67.5,clinostat
2192,control,33,67,clinostat
2192,control,34,66.625,clinostat
2192,control,35,66.5833,clinostat
2192,control,36,67.25,clinostat
2192,control,37,68.125,clinostat
2192,control,38,69.4583,clinostat
2192,control,39,70.5,clinostat
2192,control,40,71.8333,clinostat
2192,control,41,73.5833,clinostat
2192,control,42,75.375,clinostat
2192,control,43,76.125,clinostat
2192,control,44,76.5,clinostat
2192,control,45,78.75,clinostat
2192,control,46,81.75,clinostat
2192,control,47,84.2917,clinostat
2192,control,48,86.0833,clinostat
2192,control,49,87.875,clinostat
2192,control,50,89.0833,clinostat
2192,control,51,89.8333,clinostat
2192,control,52,90.375,clinostat
2192,control,53,91.0833,clinostat
2192,control,54,92.2083,clinostat
2192,control,55,92.2917,clinostat
2192,control,56,92.0417,clinostat
2192,control,57,92.0417,clinostat
2192,control,58,93.7917,clinostat
2192,control,59,96.0417,clinostat
2192,control,60,98.0833,clinostat
2192,control,61,101.0833,clinostat
2192,control,62,103.625,clinostat
2192,control,63,104.1667,clinostat
2192,control,64,103.8333,clinostat
2192,control,65,103.375,clinostat
2192,control,66,102.9167,clinostat
2192,control,67,102.5417,clinostat
2192,control,68,101.4167,clinostat
2192,control,69,100.4583,clinostat
2192,control,70,99.8333,clinostat
2192,control,71,100.0417,clinostat
2192,control,72,100.4583,clinostat
2192,control,73,100.3333,clinostat
2192,control,74,99.5833,clinostat
2192,control,75,98.9583,clinostat
2192,control,76,99.375,clinostat
2192,control,77,99.9167,clinostat
2192,control,78,100.3333,clinostat
2192,control,79,100.6667,clinostat
2192,control,80,100.7917,clinostat
2192,control,81,100.7083,clinostat
2192,control,82,100.9583,clinostat
2192,control,83,100.9167,clinostat
2192,control,84,99.8333,clinostat
2192,control,85,98.3333,clinostat
2192,control,86,96.7917,clinostat
2192,control,87,94.875,clinostat
2192,control,88,93.0417,clinostat
2192,control,89,91.875,clinostat
2192,control,90,90.5833,clinostat
2192,control,91,90.0417,clinostat
2192,control,92,89.875,clinostat
2192,control,93,90,clinostat
2192,control,94,90.2083,clinostat
2192,control,95,89.9583,clinostat
2192,control,96,89.5833,clinostat
2192,control,97,89.5417,clinostat
2192,control,98,90.25,clinostat
2192,control,99,91.125,clinostat
2192,control,100,91.5,clinostat
2192,control,101,91.625,clinostat
2192,control,102,91.0833,clinostat
2192,control,103,89.75,clinostat
2192,control,104,88.5417,clinostat
2192,control,105,87.4167,clinostat
2192,control,106,86.625,clinostat
2192,control,107,86.2083,clinostat
2192,control,108,86.1667,clinostat
2192,control,109,85.75,clinostat
2192,control,110,84.0417,clinostat
2192,control,111,80.7083,clinostat
2192,control,112,76.0417,clinostat
2192,control,113,70.1667,clinostat
2192,control,114,64.2083,clinostat
2192,control,115,60.0417,clinostat
2192,control,116,57.3333,clinostat
2192,control,117,54.4583,clinostat
2192,control,118,51.6667,clinostat
2192,control,119,49.2083,clinostat
2192,control,120,46.4167,clinostat
2192,control,121,43.8333,clinostat
2192,control,122,42.4583,clinostat
2192,control,123,41.4167,clinostat
2192,control,124,40.3333,clinostat
2192,control,125,39.7917,clinostat
2192,control,126,38.7083,clinostat
2192,control,127,37.625,clinostat
2192,control,128,36.0833,clinostat
2192,control,129,34.7083,clinostat
2194,control,0,23.375,clinostat
2194,control,1,25.75,clinostat
2194,control,2,28.4375,clinostat
2194,control,3,31.375,clinostat
2194,control,4,34.625,clinostat
2194,control,5,38,clinostat
2194,control,6,41.3125,clinostat
2194,control,7,44.3125,clinostat
2194,control,8,45.9375,clinostat
2194,control,9,47.25,clinostat
2194,control,10,48.125,clinostat
2194,control,11,49.875,clinostat
2194,control,12,52.75,clinostat
2194,control,13,55.5,clinostat
2194,control,14,57.5,clinostat
2194,control,15,58.875,clinostat
2194,control,16,60.375,clinostat
2194,control,17,61.6875,clinostat
2194,control,18,63.5625,clinostat
2194,control,19,65.0625,clinostat
2194,control,20,65.75,clinostat
2194,control,21,66.4375,clinostat
2194,control,22,66.75,clinostat
2194,control,23,67,clinostat
2194,control,24,66.5625,clinostat
2194,control,25,66.5625,clinostat
2194,control,26,66.75,clinostat
2194,control,27,67.0625,clinostat
2194,control,28,67.4375,clinostat
2194,control,29,68.0625,clinostat
2194,control,30,69.3125,clinostat
2194,control,31,70.625,clinostat
2194,control,32,72.0625,clinostat
2194,control,33,73.25,clinostat
2194,control,34,74.375,clinostat
2194,control,35,76,clinostat
2194,control,36,77.5625,clinostat
2194,control,37,79.8125,clinostat
2194,control,38,81.625,clinostat
2194,control,39,82.9375,clinostat
2194,control,40,83.375,clinostat
2194,control,41,84,clinostat
2194,control,42,85.6875,clinostat
2194,control,43,86.6875,clinostat
2194,control,44,87.4375,clinostat
2194,control,45,88,clinostat
2194,control,46,88.4375,clinostat
2194,control,47,88.75,clinostat
2194,control,48,88.375,clinostat
2194,control,49,88.125,clinostat
2194,control,50,88.8125,clinostat
2194,control,51,90.375,clinostat
2194,control,52,91.9375,clinostat
2194,control,53,92.8125,clinostat
2194,control,54,93.25,clinostat
2194,control,55,94.3125,clinostat
2194,control,56,96.0625,clinostat
2194,control,57,98.0625,clinostat
2194,control,58,98.9375,clinostat
2194,control,59,98.4375,clinostat
2194,control,60,97.375,clinostat
2194,control,61,97.125,clinostat
2194,control,62,96.9375,clinostat
2194,control,63,96.5625,clinostat
2194,control,64,96.1875,clinostat
2194,control,65,95.5625,clinostat
2194,control,66,94.6875,clinostat
2194,control,67,93.9375,clinostat
2194,control,68,93.3125,clinostat
2194,control,69,92.9375,clinostat
2194,control,70,92.5625,clinostat
2194,control,71,91.9375,clinostat
2194,control,72,91.25,clinostat
2194,control,73,90.1875,clinostat
2194,control,74,88.6875,clinostat
2194,control,75,87.25,clinostat
2194,control,76,85.6875,clinostat
2194,control,77,84.8125,clinostat
2194,control,78,84.3125,clinostat
2194,control,79,83.375,clinostat
2194,control,80,82.5625,clinostat
2194,control,81,80.5,clinostat
2194,control,82,78.9375,clinostat
2194,control,83,77.4375,clinostat
2194,control,84,75.375,clinostat
2194,control,85,73.5625,clinostat
2194,control,86,72,clinostat
2194,control,87,70,clinostat
2194,control,88,67.625,clinostat
2194,control,89,66.0625,clinostat
2194,control,90,64.8125,clinostat
2194,control,91,63.9375,clinostat
2194,control,92,63.1875,clinostat
2194,control,93,62.5,clinostat
2194,control,94,60.75,clinostat
2194,control,95,57.875,clinostat
2194,control,96,55.5625,clinostat
2194,control,97,53.6875,clinostat
2194,control,98,51.0625,clinostat
2194,control,99,47.875,clinostat
2194,control,100,43.5,clinostat
2194,control,101,37.9375,clinostat
2194,control,102,33.1875,clinostat
2194,control,103,28.9375,clinostat
2194,control,104,25.8125,clinostat
2194,control,105,22.75,clinostat
2194,control,106,19.875,clinostat
2194,control,107,17.3125,clinostat
2194,control,108,15.5,clinostat
2196,control,0,51.0476,clinostat
2196,control,1,52.6667,clinostat
2196,control,2,54.9206,clinostat
2196,control,3,57.8254,clinostat
2196,control,4,62.0317,clinostat
2196,control,5,66.7778,clinostat
2196,control,6,70.8413,clinostat
2196,control,7,74.4603,clinostat
2196,control,8,77.4444,clinostat
2196,control,9,79.6349,clinostat
2196,control,10,81.0794,clinostat
2196,control,11,82.4603,clinostat
2196,control,12,83.4444,clinostat
2196,control,13,84.4286,clinostat
2196,control,14,85.4127,clinostat
2196,control,15,86.5873,clinostat
2196,control,16,88.3968,clinostat
2196,control,17,90.4444,clinostat
2196,control,18,92.1111,clinostat
2196,control,19,93.2857,clinostat
2196,control,20,94.4444,clinostat
2196,control,21,95.7936,clinostat
2196,control,22,97.1587,clinostat
2196,control,23,98.3016,clinostat
2196,control,24,98.7302,clinostat
2196,control,25,98.6508,clinostat
2196,control,26,98.5238,clinostat
