ID,Group,Distance,Intensity
1606,control,45,84.2073
1606,control,46,81.7317
1606,control,47,79
1606,control,48,74.6463
1606,control,49,71.5366
1606,control,50,69.9146
1606,control,51,66.4146
1606,control,52,61.2439
1606,control,53,57.0244
1607,control,0,56.2742
1607,control,1,59.5323
1607,control,2,64.8064
1607,control,3,70.2903
1607,control,4,74.7903
1607,control,5,78.3064
1607,control,6,81.3064
1607,control,7,83.9677
1607,control,8,86.0323
1607,control,9,89.4839
1607,control,10,95
1607,control,11,99.6936
1607,control,12,101.9516
1607,control,13,102.9677
1607,control,14,102.4677
1607,control,15,102.4355
1607,control,16,103.1936
1607,control,17,105.0484
1607,control,18,107.6129
1607,control,19,109.129
1607,control,20,107.8226
1607,control,21,106.1129
1607,control,22,105.2903
1607,control,23,104.1613
1607,control,24,101.6452
1607,control,25,98.4355
1607,control,26,95.7581
1607,control,27,94.7097
1607,control,28,96.2258
1607,control,29,98.1129
1607,control,30,98.8871
1607,control,31,97.6613
1607,control,32,93.0484
1607,control,33,86.4516
1607,control,34,80.5806
1607,control,35,74.1129
1607,control,36,67.0806
1607,control,37,61.5968
1607,control,38,57.0161
1607,control,39,53.2258
1607,control,40,50.5484
1607,control,41,49.7419
1608,control,0,79.8936
1608,control,1,92.3404
1608,control,2,100.5106
1608,control,3,104.0851
1608,control,4,102.7872
1608,control,5,98
1608,control,6,95.2128
1608,control,7,97.2553
1608,control,8,102.2979
1608,control,9,106.234
1608,control,10,107.2766
1608,control,11,106.3404
1608,control,12,105.6383
1608,control,13,107.1064
1608,control,14,110.6809
1608,control,15,114.4255
1608,control,16,116.7447
1608,control,17,117.0638
1608,control,18,116.3617
1608,control,19,115.8936
1608,control,20,116.0638
1608,control,21,116.6383
1608,control,22,117.1277
1608,control,23,117.4681
1608,control,24,118
1608,control,25,118.2553
1608,control,26,117.6383
1608,control,27,116.1915
1608,control,28,114.2979
1608,control,29,112.4468
1608,control,30,110.2979
1608,control,31,108.617
1608,control,32,108.5319
1608,control,33,109.8085
1608,control,34,110.7447
1608,control,35,110.1064
1608,control,36,108.4468
1608,control,37,107.0213
1608,control,38,105.5957
1608,control,39,103.8085
1608,control,40,100.4468
1608,control,41,96.8511
1608,control,42,94.234
1608,control,43,91.9149
1608,control,44,88.9362
1608,control,45,85.4468
1608,control,46,81.5957
1608,control,47,76.6809
1608,control,48,71.3617
1608,control,49,67.4255
1609,control,0,39.7818
1609,control,1,41.4
1609,control,2,42.3636
1609,control,3,43.6909
1609,control,4,45.1273
1609,control,5,47.6
1609,control,6,51.0545
1609,control,7,54.4727
1609,control,8,56.1273
1609,control,9,57.4545
1609,control,10,61.0364
1609,control,11,66.2727
1609,control,12,71.3091
1609,control,13,74.7455
1609,control,14,79.2545
1609,control,15,84.4909
1609,control,16,89.2545
1609,control,17,92.5636
1609,control,18,94.2727
1609,control,19,95.1636
1609,control,20,96.2727
1609,control,21,98.5273
1609,control,22,100.3091
1609,control,23,101.0182
1609,control,24,100.7818
1609,control,25,100.8364
1609,control,26,101.6364
1609,control,27,102.8727
1609,control,28,103.8545
1609,control,29,104.6182
1609,control,30,105.2545
1609,control,31,106.4909
1609,control,32,107.9091
1609,control,33,108.2727
1609,control,34,107.6364
1609,control,35,105.7636
1609,control,36,102.6182
1609,control,37,99.9091
1609,control,38,98.9273
1609,control,39,98.5273
1609,control,40,98.4182
1609,control,41,97.9818
1609,control,42,97.2545
1609,control,43,97
1609,control,44,96.4727
1609,control,45,95.2909
1609,control,46,93.3636
1609,control,47,91.0182
1609,control,48,87.5273
1609,control,49,83.6545
1609,control,50,79.9818
1609,control,51,76.8364
1609,control,52,72.2727
1609,control,53,66.3091
1609,control,54,62.0909
1609,control,55,57.6364
1609,control,56,54.1455
1609,control,57,51.6
1609,control,58,48.5091
1609,control,59,46.8
1610,control,0,36.0556
1610,control,1,41.2963
1610,control,2,49.3704
1610,control,3,55.0741
1610,control,4,58.5926
1610,control,5,64.9074
1610,control,6,73.0741
1610,control,7,76.8333
1610,control,8,77.0556
1610,control,9,76.4259
1610,control,10,76.4259
1610,control,11,78.537
1610,control,12,82.6111
1610,control,13,88.8889
1610,control,14,95.1481
1610,control,15,98.7037
1610,control,16,99.7407
1610,control,17,102.2593
1610,control,18,103.6296
1610,control,19,103.2037
1610,control,20,101.2407
1610,control,21,99.2222
1610,control,22,97.9259
1610,control,23,98.5
1610,control,24,100.0741
1610,control,25,100.7963
1610,control,26,101.0185
1610,control,27,101.1852
1610,control,28,100.7037
1610,control,29,100.3519
1610,control,30,99.8148
1610,control,31,99.037
1610,control,32,99.2407
1610,control,33,99.4074
1610,control,34,98.9074
