ID,GFP ratio
con,1.252
con,1.216227103
con,1.050091811
con,0.693373598
con,1.917348335
con,0.723929369
con,1.271207296
con,0.703667434
con,0.664224783
con,0.88108435
con,0.984601544
con,1.01838051
con,1.066115563
con,1.144958759
bac,1.158126608
bac,0.787613637
bac,1.112096938
bac,1.393971471
bac,0.727314802
bac,0.809108269
bac,0.98203957
bac,0.942526452
bac,0.995681607
bac,0.845317211
bac,0.961237503
bac,1.169097733
bac,0.6394355
bac,0.682996261
bac,1.302812618
bac,0.774693603
