"ID","group","Bin","AvgGrayValue","factorBin"
"1562","bacteria","1",37.752471875,"1"
"1562","bacteria","2",88.5619741935484,"2"
"1562","bacteria","3",84.6502516129032,"3"
"1562","bacteria","4",33.72533125,"4"
"1566","bacteria","1",35.9857142857143,"1"
"1566","bacteria","2",80.3357142857143,"2"
"1566","bacteria","3",78.0014285714286,"3"
"1566","bacteria","4",32.95,"4"
"1567","bacteria","1",36.158328125,"1"
"1567","bacteria","2",80.85520625,"2"
"1567","bacteria","3",86.13958125,"3"
"1567","bacteria","4",36.097925,"4"
"1568","bacteria","1",42.1328918918919,"1"
"1568","bacteria","2",87.1365777777778,"2"
"1568","bacteria","3",79.0339444444444,"3"
"1568","bacteria","4",39.9459486486486,"4"
"1569","bacteria","1",35.6620155555556,"1"
"1569","bacteria","2",77.1292066666667,"2"
"1569","bacteria","3",74.45374,"3"
"1569","bacteria","4",30.18398,"4"
"1570","bacteria","1",40.6505837837838,"1"
"1570","bacteria","2",80.9716918918919,"2"
"1570","bacteria","3",82.9214945945946,"3"
"1570","bacteria","4",43.0045,"4"
"1571","bacteria","1",44.564672972973,"1"
"1571","bacteria","2",84.0456416666667,"2"
"1571","bacteria","3",101.638891666667,"3"
"1571","bacteria","4",45.5743351351351,"4"
"1572","bacteria","1",40.9227775,"1"
"1572","bacteria","2",85.2888875,"2"
"1572","bacteria","3",85.693335,"3"
"1572","bacteria","4",40.0549975,"4"
"1573","bacteria","1",34.0660896551724,"1"
"1573","bacteria","2",59.7701206896552,"2"
"1573","bacteria","3",58.2729931034483,"3"
"1573","bacteria","4",35.7830482758621,"4"
"1574","bacteria","1",23.0773857142857,"1"
"1574","bacteria","2",53.1592592592593,"2"
"1574","bacteria","3",49.7604962962963,"3"
"1574","bacteria","4",23.75595,"4"
"1575","bacteria","1",34.1994243243243,"1"
"1575","bacteria","2",84.4879378378378,"2"
"1575","bacteria","3",80.8692459459459,"3"
"1575","bacteria","4",28.8977378378378,"4"
"1576","bacteria","1",37.6038789473684,"1"
"1576","bacteria","2",87.1897552631579,"2"
"1576","bacteria","3",72.7368421052632,"3"
"1576","bacteria","4",33.4016631578947,"4"
"1577","bacteria","1",33.675,"1"
"1577","bacteria","2",70.1409090909091,"2"
"1577","bacteria","3",77.4825757575758,"3"
"1577","bacteria","4",38.1378787878788,"4"
"1578","bacteria","1",35.6484307692308,"1"
"1578","bacteria","2",80.9094,"2"
"1578","bacteria","3",68.268941025641,"3"
"1578","bacteria","4",28.6832,"4"
"1580","control","1",44.421055,"1"
"1580","control","2",91.063155,"2"
"1580","control","3",81.9171025,"3"
"1580","control","4",43.49342,"4"
"1581","control","1",33.7206862068966,"1"
"1581","control","2",71.0523821428571,"2"
"1581","control","3",74.2345285714286,"3"
"1581","control","4",34.0310379310345,"4"
"1582","control","1",35.8594833333333,"1"
"1582","control","2",82.1666694444444,"2"
"1582","control","3",86.3439527777778,"3"
"1582","control","4",41.3104638888889,"4"
"1583","control","1",46.736564516129,"1"
"1583","control","2",88.9825225806452,"2"
"1583","control","3",83.8548483870968,"3"
"1583","control","4",43.1505387096774,"4"
"1585","control","1",36.0418371428571,"1"
"1585","control","2",78.3897885714286,"2"
"1585","control","3",88.37858,"3"
"1585","control","4",41.7540857142857,"4"
"1586","control","1",35.1733176470588,"1"
"1586","control","2",75.5660151515151,"2"
"1586","control","3",81.8831212121212,"3"
"1586","control","4",36.1754117647059,"4"
"1587","control","1",35.2990666666667,"1"
"1587","control","2",62.6898222222222,"2"
"1587","control","3",79.3675916666667,"3"
"1587","control","4",42.3342638888889,"4"
"1588","control","1",37.5044555555556,"1"
"1588","control","2",77.9476407407407,"2"
"1588","control","3",76.996162962963,"3"
"1588","control","4",44.6538925925926,"4"
"1589","control","1",28.9130971428571,"1"
"1589","control","2",65.7353,"2"
"1589","control","3",61.9828470588235,"3"
"1589","control","4",29.8809542857143,"4"
"1590","control","1",62.5937607142857,"1"
"1590","control","2",82.6504666666667,"2"
"1590","control","3",85.8159666666667,"3"
"1590","control","4",61.5569178571429,"4"
"1591","control","1",39.2903225806452,"1"
"1591","control","2",63.9933333333333,"2"
"1591","control","3",60.8733333333333,"3"
"1591","control","4",35.6629032258065,"4"
"1592","control","1",44.5350724137931,"1"
"1592","control","2",90.4649172413793,"2"
"1592","control","3",85.2984689655172,"3"
"1592","control","4",40.6753793103448,"4"
"1593","control","1",39.6149794117647,"1"
"1593","control","2",94.5344303030303,"2"
"1593","control","3",78.1046878787879,"3"
"1593","control","4",38.7023088235294,"4"
"1594","control","1",31.4098868421053,"1"
"1594","control","2",80.8877972972973,"2"
"1594","control","3",66.4586351351351,"3"
"1594","control","4",28.3532657894737,"4"
"1596","control","1",39.4387487179487,"1"
"1596","control","2",75.1586236842105,"2"
"1596","control","3",82.0051210526316,"3"
"1596","control","4",39.3660923076923,"4"
"1597","control","1",39.8446470588235,"1"
"1597","control","2",82.1199088235294,"2"
"1597","control","3",76.7096588235294,"3"
"1597","control","4",34.6749705882353,"4"
"1598","control","1",38.9314285714286,"1"
"1598","control","2",71.6995971428571,"2"
"1598","control","3",66.8138771428571,"3"
"1598","control","4",35.0073485714286,"4"
"1599","control","1",40.7062543478261,"1"
"1599","control","2",82.2558266666667,"2"
"1599","control","3",94.2780488888889,"3"
"1599","control","4",50.3059391304348,"4"
"1600","control","1",37.1048358974359,"1"
"1600","control","2",92.8725131578947,"2"
"1600","control","3",84.152052631579,"3"
"1600","control","4",35.1002820512821,"4"
